/Library/Frameworks/Python.framework/Versions/3.6/bin/python3.6 /Users/chris/Projects/cps313/Week3/Exercise6.py
Celsius				Fahrenheit
______________________________________
0 					 32.0
1 					 33.8
2 					 35.6
3 					 37.4
4 					 39.2
5 					 41.0
6 					 42.8
7 					 44.6
8 					 46.4
9 					 48.2
10 					 50.0
11 					 51.8
12 					 53.6
13 					 55.400000000000006
14 					 57.2
15 					 59.0
16 					 60.8
17 					 62.6
18 					 64.4
19 					 66.2
20 					 68.0

Process finished with exit code 0
